4.2773 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
17.6260 	EXP 	pres_text: autoDraw = True
18.6088 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
18.6250 	EXP 	background_2: autoDraw = False
18.6250 	EXP 	pres_text: autoDraw = False
18.6250 	EXP 	background_2: autoDraw = False
18.6250 	EXP 	fixation: autoDraw = False
18.6250 	EXP 	pres_text: autoDraw = False
18.6250 	EXP 	pres_text: height = np.float64(0.1)
18.6250 	EXP 	pres_text: height = np.float64(0.1)
18.6250 	EXP 	pres_text: height = np.float64(0.1)
18.6250 	EXP 	pres_text: text = '8'
18.6250 	EXP 	background_2: autoDraw = True
18.6250 	EXP 	fixation: autoDraw = True
19.0297 	DATA 	Mouse: Left button down, pos=(645,404)
19.1616 	DATA 	Mouse:  Left button up, pos=(645,404)
19.5295 	DATA 	Mouse: Left button down, pos=(744,412)
19.6093 	EXP 	pres_text: autoDraw = True
19.6258 	EXP 	fixation: autoDraw = False
19.6488 	DATA 	Mouse:  Left button up, pos=(744,412)
20.6084 	EXP 	pres_text: autoDraw = False
20.6085 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
20.6256 	EXP 	background_2: autoDraw = False
20.6256 	EXP 	background_2: autoDraw = False
20.6256 	EXP 	fixation: autoDraw = False
20.6256 	EXP 	pres_text: autoDraw = False
20.6256 	EXP 	pres_text: height = np.float64(0.1)
20.6256 	EXP 	pres_text: height = np.float64(0.1)
20.6256 	EXP 	pres_text: height = np.float64(0.1)
20.6256 	EXP 	pres_text: text = '6'
20.6256 	EXP 	background_2: autoDraw = True
20.6256 	EXP 	fixation: autoDraw = True
21.6091 	EXP 	pres_text: autoDraw = True
21.6251 	EXP 	fixation: autoDraw = False
22.6093 	EXP 	pres_text: autoDraw = False
22.6258 	EXP 	background_2: autoDraw = False
22.6258 	EXP 	background_2: autoDraw = False
22.6258 	EXP 	fixation: autoDraw = False
22.6258 	EXP 	pres_text: autoDraw = False
22.6258 	EXP 	background_3: autoDraw = True
22.6258 	EXP 	recall_txt: autoDraw = True
22.6258 	EXP 	textbox: autoDraw = True
22.6258 	EXP 	cont_button: autoDraw = True
96.6676 	DATA 	Keypress: return
96.6756 	EXP 	Device response: <KeyPress from None: t=96.78332429158036, value=['return', 101.21020725008566], duration=None>
98.4987 	DATA 	Mouse: Left button down, pos=(712,111)
98.5089 	EXP 	background_3: autoDraw = False
98.5089 	EXP 	recall_txt: autoDraw = False
98.5089 	EXP 	textbox: autoDraw = False
98.5089 	EXP 	cont_button: autoDraw = False
98.5089 	EXP 	feedback_text: text = 'Incorrect'
98.5089 	EXP 	background_4: autoDraw = True
98.5089 	EXP 	feedback_text: autoDraw = True
98.5975 	DATA 	Mouse:  Left button up, pos=(712,110)
99.4926 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'digitSpan': 3, 'digits': 760, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
99.4927 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
99.5090 	EXP 	background_4: autoDraw = False
99.5090 	EXP 	feedback_text: autoDraw = False
99.5090 	EXP 	background_4: autoDraw = False
99.5090 	EXP 	feedback_text: autoDraw = False
99.5090 	EXP 	pres_text: height = np.float64(0.1)
99.5090 	EXP 	pres_text: height = np.float64(0.1)
99.5090 	EXP 	pres_text: height = np.float64(0.1)
99.5090 	EXP 	pres_text: text = '7'
99.5090 	EXP 	background_2: autoDraw = True
99.5090 	EXP 	fixation: autoDraw = True
100.0299 	DATA 	Mouse: Left button down, pos=(719,101)
100.1468 	DATA 	Mouse:  Left button up, pos=(719,101)
100.5092 	EXP 	fixation: autoDraw = False
100.5092 	EXP 	pres_text: autoDraw = True
101.4920 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
101.5088 	EXP 	background_2: autoDraw = False
101.5088 	EXP 	pres_text: autoDraw = False
101.5088 	EXP 	background_2: autoDraw = False
101.5088 	EXP 	fixation: autoDraw = False
101.5088 	EXP 	pres_text: autoDraw = False
101.5088 	EXP 	pres_text: height = np.float64(0.1)
101.5088 	EXP 	pres_text: height = np.float64(0.1)
101.5088 	EXP 	pres_text: height = np.float64(0.1)
101.5088 	EXP 	pres_text: text = '6'
101.5088 	EXP 	background_2: autoDraw = True
101.5088 	EXP 	fixation: autoDraw = True
102.5091 	EXP 	fixation: autoDraw = False
102.5091 	EXP 	pres_text: autoDraw = True
103.4925 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
103.5082 	EXP 	background_2: autoDraw = False
103.5082 	EXP 	pres_text: autoDraw = False
103.5082 	EXP 	background_2: autoDraw = False
103.5082 	EXP 	fixation: autoDraw = False
103.5082 	EXP 	pres_text: autoDraw = False
103.5082 	EXP 	pres_text: height = np.float64(0.1)
103.5082 	EXP 	pres_text: height = np.float64(0.1)
103.5082 	EXP 	pres_text: height = np.float64(0.1)
103.5082 	EXP 	pres_text: text = '0'
103.5082 	EXP 	background_2: autoDraw = True
103.5082 	EXP 	fixation: autoDraw = True
104.5091 	EXP 	fixation: autoDraw = False
